01-14 19:28:37.427 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:36.721 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:248.5 MB + FREE:83.3 MB == MEM_MAX:910.5 MB), desiredKV=151.2 MB OOM!
01-14 19:28:38.849 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:247.3 MB + FREE:84.5 MB == MEM_MAX:910.5 MB), desiredKV=153.5 MB OOM!
01-14 19:28:38.133 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:247.3 MB + FREE:84.5 MB == MEM_MAX:910.5 MB), desiredKV=153.5 MB OOM!
01-14 19:28:38.133 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:247.3 MB + FREE:84.5 MB == MEM_MAX:910.5 MB), desiredKV=115.4 MB OOM!
01-14 19:28:41.265 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.5 MB + FREE:87.3 MB == MEM_MAX:910.5 MB), desiredKV=120.9 MB OOM!
01-14 19:28:41.265 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:247.3 MB + FREE:84.5 MB == MEM_MAX:910.5 MB), desiredKV=153.5 MB OOM!
01-14 19:28:40.354 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:247.3 MB + FREE:84.5 MB == MEM_MAX:910.5 MB), desiredKV=153.5 MB OOM!
01-14 19:28:39.554 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:247.3 MB + FREE:84.5 MB == MEM_MAX:910.5 MB), desiredKV=153.5 MB OOM!
01-14 19:28:42.041 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.5 MB + FREE:87.3 MB == MEM_MAX:910.5 MB), desiredKV=159.1 MB OOM!
01-14 19:28:42.041 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.5 MB + FREE:87.3 MB == MEM_MAX:910.5 MB), desiredKV=121.0 MB OOM!
01-14 19:28:43.475 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.5 MB + FREE:87.3 MB == MEM_MAX:910.5 MB), desiredKV=120.9 MB OOM!
01-14 19:28:43.475 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.5 MB + FREE:87.3 MB == MEM_MAX:910.5 MB), desiredKV=120.9 MB OOM!
01-14 19:28:43.475 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.5 MB + FREE:87.3 MB == MEM_MAX:910.5 MB), desiredKV=159.1 MB OOM!
01-14 19:28:46.292 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.4 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:46.292 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.4 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:46.292 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.4 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:46.292 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.4 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=121.2 MB OOM!
01-14 19:28:46.292 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.4 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=121.2 MB OOM!
01-14 19:28:46.292 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.4 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:47.700 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:47.700 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:47.700 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=121.3 MB OOM!
01-14 19:28:48.398 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=159.4 MB OOM!
01-14 19:28:50.538 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.4 MB == MEM_MAX:910.5 MB), desiredKV=121.4 MB OOM!
01-14 19:28:50.538 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.5 MB == MEM_MAX:910.5 MB), desiredKV=121.4 MB OOM!
01-14 19:28:51.955 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:244.3 MB + FREE:87.5 MB == MEM_MAX:910.5 MB), desiredKV=159.5 MB OOM!
01-14 19:28:51.955 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:244.2 MB + FREE:87.6 MB == MEM_MAX:910.5 MB), desiredKV=121.5 MB OOM!
